# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=3,timestep=0.1
Bx,By,Bz,X,Y,Z
2.840855646503793253e+01,3.237290558579849264e+00,5.909524582454979580e+00,-1.341804729281894879e+03,-6.595027789363221018e+03,-2.459336547966268824e+02
2.840839506987951069e+01,3.236504684893578343e+00,5.913419486846808404e+00,-1.341177876908785038e+03,-6.595169809389651164e+03,-2.455937981062892561e+02
2.840823354296097492e+01,3.235718455320159226e+00,5.917314412050306949e+00,-1.340551009175659601e+03,-6.595311752843727845e+03,-2.452539382110103077e+02
2.840807188424529883e+01,3.234931869727001530e+00,5.921209357803503437e+00,-1.339924126089548736e+03,-6.595453619723906741e+03,-2.449140751152276891e+02
2.840791009369557329e+01,3.234144927981650319e+00,5.925104323844316845e+00,-1.339297227657499889e+03,-6.595595410028630795e+03,-2.445742088233789389e+02
2.840774817127492469e+01,3.233357629951828738e+00,5.928999309910492954e+00,-1.338670313886567328e+03,-6.595737123756352958e+03,-2.442343393399019362e+02
2.840758611694662505e+01,3.232569975505331872e+00,5.932894315739685176e+00,-1.338043384783788724e+03,-6.595878760905523450e+03,-2.438944666692344470e+02
2.840742393067388250e+01,3.231781964510100025e+00,5.936789341069377279e+00,-1.337416440356220392e+03,-6.596020321474594311e+03,-2.435545908158142083e+02
2.840726161242000458e+01,3.230993596834162762e+00,5.940684385636971321e+00,-1.336789480610881583e+03,-6.596161805462023949e+03,-2.432147117840791282e+02
2.840709916214849429e+01,3.230204872345773026e+00,5.944579449179674846e+00,-1.336162505554852032e+03,-6.596303212866257127e+03,-2.428748295784669153e+02
2.840693657951889151e+01,3.229415790474682524e+00,5.948474532140875404e+00,-1.335535514714124020e+03,-6.596444543783145491e+03,-2.425349442034157050e+02
2.840677386510247615e+01,3.228626351966153329e+00,5.952369632845015524e+00,-1.334908509057795527e+03,-6.596585798016319131e+03,-2.421950556633631777e+02
2.840661101855902615e+01,3.227836556250485156e+00,5.956264751735215413e+00,-1.334281488111899534e+03,-6.596726975661666984e+03,-2.418551639627474401e+02
2.840644803985223277e+01,3.227046403196367041e+00,5.960159888548183460e+00,-1.333654451883481443e+03,-6.596868076717650183e+03,-2.415152691060065138e+02
2.840628492894579793e+01,3.226255892672651893e+00,5.964055043020501046e+00,-1.333027400379584606e+03,-6.597009101182723498e+03,-2.411753710975784202e+02
2.840612168580356212e+01,3.225465024548269888e+00,5.967950214888654514e+00,-1.332400333607242374e+03,-6.597150049055353520e+03,-2.408354699419012377e+02
2.840595831038940133e+01,3.224673798692331506e+00,5.971845403888908166e+00,-1.331773251573528114e+03,-6.597290920333992290e+03,-2.404955656434130447e+02
2.840579480266723778e+01,3.223882214974020499e+00,5.975740609757479227e+00,-1.331146154285477678e+03,-6.597431715017105489e+03,-2.401556582065519763e+02
2.840563116260115351e+01,3.223090273262700034e+00,5.979635832230439263e+00,-1.330519041750128736e+03,-6.597572433103156072e+03,-2.398157476357562814e+02
2.840546739015520927e+01,3.222297973427830531e+00,5.983531071043727501e+00,-1.329891913974528507e+03,-6.597713074590606993e+03,-2.394758339354641805e+02
2.840530348529348359e+01,3.221505315339002085e+00,5.987426325933111748e+00,-1.329264770965733760e+03,-6.597853639477920296e+03,-2.391359171101138372e+02
2.840513944798020418e+01,3.220712298865935796e+00,5.991321596634242574e+00,-1.328637612730803767e+03,-6.597994127763560755e+03,-2.387959971641435857e+02
2.840497527817976930e+01,3.219918923878503314e+00,5.995216882882723475e+00,-1.328010439276759143e+03,-6.598134539445995870e+03,-2.384560741019917600e+02
2.840481097585639603e+01,3.219125190246664214e+00,5.999112184413921689e+00,-1.327383250610658024e+03,-6.598274874523692233e+03,-2.381161479280967228e+02
2.840464654067000794e+01,3.218331097398394292e+00,6.003007501669180179e+00,-1.326756046258397191e+03,-6.598415133091864845e+03,-2.377762186468968366e+02
2.840448197319417289e+01,3.217536646087946650e+00,6.006902832971520390e+00,-1.326128827189324511e+03,-6.598555314955442554e+03,-2.374362862628305209e+02
2.840431727308889975e+01,3.216741835743814892e+00,6.010798178762038368e+00,-1.325501592929336084e+03,-6.598695420209685835e+03,-2.370963507803362802e+02
2.840415244031883546e+01,3.215946666236500384e+00,6.014693538775602200e+00,-1.324874343485501413e+03,-6.598835448853064918e+03,-2.367564122038525340e+02
2.840398747484866249e+01,3.215151137436607520e+00,6.018588912747010689e+00,-1.324247078864838841e+03,-6.598975400884055489e+03,-2.364164705378179292e+02
2.840382237664312015e+01,3.214355249214890797e+00,6.022484300410852143e+00,-1.323619799074426965e+03,-6.599115276301122321e+03,-2.360765257866709419e+02
2.840365714566702238e+01,3.213559001442230834e+00,6.026379701501674901e+00,-1.322992504121283218e+03,-6.599255075102748378e+03,-2.357365779548502189e+02
2.840349178188531809e+01,3.212762393989653908e+00,6.030275115753826576e+00,-1.322365194012482789e+03,-6.599394797287400252e+03,-2.353966270467942934e+02
2.840332628526292780e+01,3.211965426728289330e+00,6.034170542901542866e+00,-1.321737868755067439e+03,-6.599534442853552719e+03,-2.350566730669420394e+02
2.840316065576487148e+01,3.211168099529388975e+00,6.038065982678959998e+00,-1.321110528356086434e+03,-6.599674011799685104e+03,-2.347167160197319333e+02
2.840299489335624372e+01,3.210370412264363260e+00,6.041961434820080967e+00,-1.320483172822577671e+03,-6.599813504124275823e+03,-2.343767559096028776e+02
2.840282899800225991e+01,3.209572364804742506e+00,6.045856899058736467e+00,-1.319855802161600877e+03,-6.599952919825798745e+03,-2.340367927409936328e+02
2.840266296966810344e+01,3.208773957022187595e+00,6.049752375128666593e+00,-1.319228416380216004e+03,-6.600092258902731373e+03,-2.336968265183429594e+02
2.840249680801393239e+01,3.207975188342949036e+00,6.053647863469358903e+00,-1.318601015004163173e+03,-6.600231521449710272e+03,-2.333568572460897030e+02
2.840233051361535743e+01,3.207176059529722068e+00,6.057543362402493692e+00,-1.317973599003085837e+03,-6.600370707272861182e+03,-2.330168849286727664e+02
2.840216408613272847e+01,3.206376570009292326e+00,6.061438872367365782e+00,-1.317346167902720481e+03,-6.600509816466867051e+03,-2.326769095705310804e+02
2.840199752553154156e+01,3.205576719653850493e+00,6.065334393097136179e+00,-1.316718721710155705e+03,-6.600648849030204474e+03,-2.323369311761035760e+02
