# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=1.5,timestep=0.1
Bx,By,Bz,X,Y,Z
3.423079187162039005e+01,5.964639761647576144e+00,-7.735246859590804824e+00,-6.669009803627674955e+03,9.113634378944973378e+02,-2.248562096438095352e+02
3.423017521359629001e+01,5.964715402683642864e+00,-7.729936771704226217e+00,-6.669109827679196314e+03,9.107286404919549341e+02,-2.245161594875951039e+02
3.422955825939044416e+01,5.964790808218459084e+00,-7.724626828210718443e+00,-6.669209774316102084e+03,9.100938327116559776e+02,-2.241761064015906868e+02
3.422894100904211712e+01,5.964865978239249245e+00,-7.719317029338019331e+00,-6.669309643537312695e+03,9.094590145607450040e+02,-2.238360503902361813e+02
3.422832346259063030e+01,5.964940912733253775e+00,-7.714007375313846282e+00,-6.669409435341756762e+03,9.088241860463465400e+02,-2.234959914579715985e+02
3.422770562007540462e+01,5.965015611687825015e+00,-7.708697866365985085e+00,-6.669509149728352895e+03,9.081893471755968221e+02,-2.231559296092367788e+02
3.422708748121210931e+01,5.965090075324997798e+00,-7.703388501537011379e+00,-6.669608786762214550e+03,9.075544974692644473e+02,-2.228158648484717617e+02
3.422646904668752654e+01,5.965164303162731052e+00,-7.698079283425048658e+00,-6.669708346309857916e+03,9.069196379071822776e+02,-2.224757971801165013e+02
3.422585031621756713e+01,5.965238295423367809e+00,-7.692770211072755160e+00,-6.669807828436439195e+03,9.062847680101407377e+02,-2.221357266086110087e+02
3.422523128984176566e+01,5.965312052094491335e+00,-7.687461284707942433e+00,-6.669907233140886092e+03,9.056498877852653777e+02,-2.217956531383954371e+02
3.422461196759972779e+01,5.965385573163709765e+00,-7.682152504558419359e+00,-6.670006560422129041e+03,9.050149972396933435e+02,-2.214555767739097973e+02
3.422399234953107339e+01,5.965458858618742255e+00,-7.676843870852034790e+00,-6.670105810279099387e+03,9.043800963805559832e+02,-2.211154975195942427e+02
3.422337243535172746e+01,5.965531908680952178e+00,-7.671535382631495814e+00,-6.670204982776629549e+03,9.037451847285757367e+02,-2.207754153798888979e+02
3.422275222574900511e+01,5.965604722870733845e+00,-7.666227042494946353e+00,-6.670304077781801425e+03,9.031102632636825547e+02,-2.204353303592340012e+02
3.422213172043896634e+01,5.965677301409781030e+00,-7.660918849485170767e+00,-6.670403095359499275e+03,9.024753315066277537e+02,-2.200952424620696775e+02
3.422151091946134471e+01,5.965749644286018061e+00,-7.655610803829955735e+00,-6.670502035508654444e+03,9.018403894645135779e+02,-2.197551516928362219e+02
3.422088982285618641e+01,5.965821751487443869e+00,-7.650302905757343730e+00,-6.670600898228204642e+03,9.012054371445045717e+02,-2.194150580559737875e+02
3.422026843066327473e+01,5.965893623002131108e+00,-7.644995155495177386e+00,-6.670699683517084850e+03,9.005704745537121880e+02,-2.190749615559228118e+02
3.421964674292269137e+01,5.965965258818194172e+00,-7.639687553271406806e+00,-6.670798391374231869e+03,8.999355016992806213e+02,-2.187348621971235616e+02
3.421902475935034715e+01,5.966036659156235267e+00,-7.634380098128973557e+00,-6.670897021864162525e+03,8.993005181018839949e+02,-2.183947599840164457e+02
3.421840248063445244e+01,5.966107823539505084e+00,-7.629072792665900771e+00,-6.670995574854611732e+03,8.986655247415591248e+02,-2.180546549210417027e+02
3.421777990649105305e+01,5.966178752188889156e+00,-7.623765635925093598e+00,-6.671094050410147247e+03,8.980305211389786564e+02,-2.177145470126398266e+02
3.421715703696030886e+01,5.966249445092772774e+00,-7.618458628134551880e+00,-6.671192448529707690e+03,8.973955073012839421e+02,-2.173744362632512548e+02
3.421653387208247210e+01,5.966319902239567874e+00,-7.613151769522282564e+00,-6.671290769212236228e+03,8.967604832355999633e+02,-2.170343226773164531e+02
3.421591041189785898e+01,5.966390123617791197e+00,-7.607845060316348551e+00,-6.671389012456670571e+03,8.961254489490886499e+02,-2.166942062592759441e+02
3.421528665644666489e+01,5.966460109215973695e+00,-7.602538500744697281e+00,-6.671487178261959343e+03,8.954904044488515638e+02,-2.163540870135701937e+02
3.421466260544507776e+01,5.966529859253946633e+00,-7.597232089850442627e+00,-6.671585266692299228e+03,8.948553492555279263e+02,-2.160139649446397527e+02
3.421403825958196165e+01,5.966599373257815309e+00,-7.591925830231582850e+00,-6.671683277616080886e+03,8.942202843492563034e+02,-2.156738400569253145e+02
3.421341361857352581e+01,5.966668651447681881e+00,-7.586619720931196298e+00,-6.671781211097553751e+03,8.935852092506657982e+02,-2.153337123548673731e+02
3.421278868246025695e+01,5.966737693812355303e+00,-7.581313762177308568e+00,-6.671879067135663718e+03,8.929501239668848029e+02,-2.149935818429066501e+02
3.421216345128280523e+01,5.966806500340713804e+00,-7.576007954198125560e+00,-6.671976845729355773e+03,8.923150285050677439e+02,-2.146534485254837250e+02
3.421153792508167157e+01,5.966875071021666699e+00,-7.570702297221661325e+00,-6.672074546877582179e+03,8.916799228723342594e+02,-2.143133124070393194e+02
3.421091210389746351e+01,5.966943405844201465e+00,-7.565396791476041827e+00,-6.672172170579289741e+03,8.910448070758158110e+02,-2.139731734920142685e+02
3.421028598744644711e+01,5.967011505027356222e+00,-7.560091436004551468e+00,-6.672269716898365004e+03,8.904096806361002336e+02,-2.136330317848492371e+02
3.420965957641829647e+01,5.967079368100097980e+00,-7.554786233405026863e+00,-6.672367185703850737e+03,8.897745445334001033e+02,-2.132928872899849750e+02
